benchmark,file,mode,baseline_mode,qor,cuts_used,candidate_cuts,cpu_time,post_ml_time,qor_baseline,cuts_used_baseline,candidate_cuts_baseline,cpu_time_baseline,post_ml_time_baseline,qor_delta_vs_baseline,cuts_used_delta_vs_baseline,candidate_cuts_delta_vs_baseline,candidate_cuts_ratio_vs_baseline,cpu_time_delta_vs_baseline,cpu_time_ratio_vs_baseline,post_ml_time_delta_vs_baseline,post_ml_time_ratio_vs_baseline
5xp1.blif,/home/ayush/abc/blif/5xp1.blif,0,0,129.0,123,732,808.0,355.0,129.0,123,732,808.0,355.0,,,,,,,,
5xp1.blif,/home/ayush/abc/blif/5xp1.blif,1,0,129.0,123,538,1453.0,580.0,129.0,123,732,808.0,355.0,0.0,0,-194,0.7349726775956285,645.0,1.7982673267326732,225.0,1.6338028169014085
5xp1.blif,/home/ayush/abc/blif/5xp1.blif,2,0,129.0,123,466,1343.0,471.0,129.0,123,732,808.0,355.0,0.0,0,-266,0.6366120218579235,535.0,1.6621287128712872,116.0,1.3267605633802817
5xp1.blif,/home/ayush/abc/blif/5xp1.blif,3,0,129.0,123,376,1235.0,467.0,129.0,123,732,808.0,355.0,0.0,0,-356,0.5136612021857924,427.0,1.5284653465346534,112.0,1.315492957746479
9sym.blif,/home/ayush/abc/blif/9sym.blif,0,0,339.0,330,2074,3300.0,1790.0,339.0,330,2074,3300.0,1790.0,,,,,,,,
9sym.blif,/home/ayush/abc/blif/9sym.blif,1,0,339.0,330,1534,2808.0,1362.0,339.0,330,2074,3300.0,1790.0,0.0,0,-540,0.7396335583413693,-492.0,0.850909090909091,-428.0,0.7608938547486034
9sym.blif,/home/ayush/abc/blif/9sym.blif,2,0,339.0,330,1318,2648.0,1280.0,339.0,330,2074,3300.0,1790.0,0.0,0,-756,0.6354869816779171,-652.0,0.8024242424242424,-510.0,0.7150837988826816
9sym.blif,/home/ayush/abc/blif/9sym.blif,3,0,339.0,330,1032,4508.0,2447.0,339.0,330,2074,3300.0,1790.0,0.0,0,-1042,0.49758919961427195,1208.0,1.366060606060606,657.0,1.3670391061452514
9symml.blif,/home/ayush/abc/blif/9symml.blif,0,0,250.0,241,1555,2020.0,1089.0,250.0,241,1555,2020.0,1089.0,,,,,,,,
9symml.blif,/home/ayush/abc/blif/9symml.blif,1,0,250.0,241,1159,2274.0,1101.0,250.0,241,1555,2020.0,1089.0,0.0,0,-396,0.7453376205787782,254.0,1.1257425742574256,12.0,1.0110192837465564
9symml.blif,/home/ayush/abc/blif/9symml.blif,2,0,250.0,241,968,2466.0,1188.0,250.0,241,1555,2020.0,1089.0,0.0,0,-587,0.622508038585209,446.0,1.2207920792079208,99.0,1.0909090909090908
9symml.blif,/home/ayush/abc/blif/9symml.blif,3,0,250.0,241,736,3144.0,1401.0,250.0,241,1555,2020.0,1089.0,0.0,0,-819,0.4733118971061093,1124.0,1.5564356435643565,312.0,1.2865013774104683
C1355.blif,/home/ayush/abc/blif/C1355.blif,0,0,927.0,858,16090,19497.0,5247.0,927.0,858,16090,19497.0,5247.0,,,,,,,,
C1355.blif,/home/ayush/abc/blif/C1355.blif,1,0,927.0,858,6772,17216.0,3772.0,927.0,858,16090,19497.0,5247.0,0.0,0,-9318,0.42088253573648227,-2281.0,0.8830076422013643,-1475.0,0.7188869830379264
C1355.blif,/home/ayush/abc/blif/C1355.blif,2,0,927.0,858,5236,32158.0,5419.0,927.0,858,16090,19497.0,5247.0,0.0,0,-10854,0.325419515226849,12661.0,1.6493819561983896,172.0,1.0327806365542214
